subject,class,object-countability,counted-entities,pair,rating
5955578c868d3100010cfa1a,object,countable,object,bullet-ammunition,4
5b5e597d4e945800017dda68,object,countable,object,bullet-ammunition,3
5f0f8ca8356665165fe18328,object,countable,object,bullet-ammunition,4
5bc4784e85214800017d8c1a,object,countable,object,bullet-ammunition,5
5bfb245c26e31d0001048012,object,countable,object,bullet-ammunition,2
60ee1474e6467957994ce2ff,object,countable,object,bullet-ammunition,3
61012b949abec48d9755d6c6,object,countable,object,bullet-ammunition,4
5ced28579d75d000011572be,object,countable,object,bullet-ammunition,3
5e20b67d1bad6c3c1af25ded,object,countable,object,bullet-ammunition,7
5f3013e31c8a690aacb02c31,object,countable,object,bullet-ammunition,6
5fcead109898cb1466641f65,object,countable,object,bullet-ammunition,3
61542508e4600733844ab8af,object,countable,object,bullet-ammunition,4
5f5fc58bfcb0db07c6c64d9e,object,countable,object,bullet-ammunition,4
605c587ecafedbb7875df03c,object,countable,object,bullet-ammunition,1
5e384b1b6652df02300bbb15,object,countable,object,bullet-ammunition,2
61220eed4945bed49e30ed10,object,countable,object,bullet-ammunition,7
59d0d2f54f2d3d0001d8e04f,object,countable,object,bullet-ammunition,3
6107b36f1e447f3291ffb10c,object,countable,object,bullet-ammunition,7
5c52b7e6251e080001c0c794,object,countable,object,bullet-ammunition,4
60c10f25b2abc02cc4c6a8ff,object,countable,object,bullet-ammunition,1
5afc1c1c96a88e0001ff1c01,object,countable,object,bullet-ammunition,1
5ce7d6b62e037a0015e7333c,object,countable,object,bullet-ammunition,2
5fd09d8f70475f0260720162,object,countable,object,bullet-ammunition,2
60fd47060f9034b90c94ac08,object,countable,object,bullet-ammunition,5
60565342bf35f1e7658b3458,object,countable,object,bullet-ammunition,1
603eafab982298f40bfe9120,object,countable,object,bullet-ammunition,4
5f91a37ee40e04036b0ee45b,object,countable,object,bullet-ammunition,5
614dbfd84002a61c075c791c,object,countable,object,bullet-ammunition,5
60a5552c08038da921d5e7d1,object,countable,object,bullet-ammunition,6
5d41ef9d57382300015d1564,object,countable,object,bullet-ammunition,6
5955578c868d3100010cfa1a,object,countable,object,glass-glassware,7
5b5e597d4e945800017dda68,object,countable,object,glass-glassware,6
5f0f8ca8356665165fe18328,object,countable,object,glass-glassware,6
5bc4784e85214800017d8c1a,object,countable,object,glass-glassware,6
5bfb245c26e31d0001048012,object,countable,object,glass-glassware,7
60ee1474e6467957994ce2ff,object,countable,object,glass-glassware,7
61012b949abec48d9755d6c6,object,countable,object,glass-glassware,3
5ced28579d75d000011572be,object,countable,object,glass-glassware,7
5e20b67d1bad6c3c1af25ded,object,countable,object,glass-glassware,4
5f3013e31c8a690aacb02c31,object,countable,object,glass-glassware,7
5fcead109898cb1466641f65,object,countable,object,glass-glassware,7
61542508e4600733844ab8af,object,countable,object,glass-glassware,5
5f5fc58bfcb0db07c6c64d9e,object,countable,object,glass-glassware,7
605c587ecafedbb7875df03c,object,countable,object,glass-glassware,7
5e384b1b6652df02300bbb15,object,countable,object,glass-glassware,7
61220eed4945bed49e30ed10,object,countable,object,glass-glassware,4
59d0d2f54f2d3d0001d8e04f,object,countable,object,glass-glassware,7
6107b36f1e447f3291ffb10c,object,countable,object,glass-glassware,7
5c52b7e6251e080001c0c794,object,countable,object,glass-glassware,7
60c10f25b2abc02cc4c6a8ff,object,countable,object,glass-glassware,6
5afc1c1c96a88e0001ff1c01,object,countable,object,glass-glassware,7
5ce7d6b62e037a0015e7333c,object,countable,object,glass-glassware,5
5fd09d8f70475f0260720162,object,countable,object,glass-glassware,7
60fd47060f9034b90c94ac08,object,countable,object,glass-glassware,6
60565342bf35f1e7658b3458,object,countable,object,glass-glassware,7
603eafab982298f40bfe9120,object,countable,object,glass-glassware,6
5f91a37ee40e04036b0ee45b,object,countable,object,glass-glassware,7
614dbfd84002a61c075c791c,object,countable,object,glass-glassware,7
60a5552c08038da921d5e7d1,object,countable,object,glass-glassware,6
5d41ef9d57382300015d1564,object,countable,object,glass-glassware,7
5955578c868d3100010cfa1a,object,countable,object,sports-garment-sportswear,7
5b5e597d4e945800017dda68,object,countable,object,sports-garment-sportswear,7
5f0f8ca8356665165fe18328,object,countable,object,sports-garment-sportswear,3
5bc4784e85214800017d8c1a,object,countable,object,sports-garment-sportswear,6
5bfb245c26e31d0001048012,object,countable,object,sports-garment-sportswear,7
60ee1474e6467957994ce2ff,object,countable,object,sports-garment-sportswear,7
61012b949abec48d9755d6c6,object,countable,object,sports-garment-sportswear,4
5ced28579d75d000011572be,object,countable,object,sports-garment-sportswear,5
5e20b67d1bad6c3c1af25ded,object,countable,object,sports-garment-sportswear,7
5f3013e31c8a690aacb02c31,object,countable,object,sports-garment-sportswear,2
5fcead109898cb1466641f65,object,countable,object,sports-garment-sportswear,3
61542508e4600733844ab8af,object,countable,object,sports-garment-sportswear,7
5f5fc58bfcb0db07c6c64d9e,object,countable,object,sports-garment-sportswear,7
605c587ecafedbb7875df03c,object,countable,object,sports-garment-sportswear,4
5e384b1b6652df02300bbb15,object,countable,object,sports-garment-sportswear,5
61220eed4945bed49e30ed10,object,countable,object,sports-garment-sportswear,7
59d0d2f54f2d3d0001d8e04f,object,countable,object,sports-garment-sportswear,7
6107b36f1e447f3291ffb10c,object,countable,object,sports-garment-sportswear,3
5c52b7e6251e080001c0c794,object,countable,object,sports-garment-sportswear,7
60c10f25b2abc02cc4c6a8ff,object,countable,object,sports-garment-sportswear,1
5afc1c1c96a88e0001ff1c01,object,countable,object,sports-garment-sportswear,2
5ce7d6b62e037a0015e7333c,object,countable,object,sports-garment-sportswear,2
5fd09d8f70475f0260720162,object,countable,object,sports-garment-sportswear,5
60fd47060f9034b90c94ac08,object,countable,object,sports-garment-sportswear,7
60565342bf35f1e7658b3458,object,countable,object,sports-garment-sportswear,6
603eafab982298f40bfe9120,object,countable,object,sports-garment-sportswear,4
5f91a37ee40e04036b0ee45b,object,countable,object,sports-garment-sportswear,7
614dbfd84002a61c075c791c,object,countable,object,sports-garment-sportswear,4
60a5552c08038da921d5e7d1,object,countable,object,sports-garment-sportswear,6
5d41ef9d57382300015d1564,object,countable,object,sports-garment-sportswear,7
5955578c868d3100010cfa1a,object,countable,object,good-merchandise,7
5b5e597d4e945800017dda68,object,countable,object,good-merchandise,7
5f0f8ca8356665165fe18328,object,countable,object,good-merchandise,6
5bc4784e85214800017d8c1a,object,countable,object,good-merchandise,6
5bfb245c26e31d0001048012,object,countable,object,good-merchandise,2
60ee1474e6467957994ce2ff,object,countable,object,good-merchandise,2
61012b949abec48d9755d6c6,object,countable,object,good-merchandise,2
5ced28579d75d000011572be,object,countable,object,good-merchandise,3
5e20b67d1bad6c3c1af25ded,object,countable,object,good-merchandise,1
5f3013e31c8a690aacb02c31,object,countable,object,good-merchandise,1
5fcead109898cb1466641f65,object,countable,object,good-merchandise,1
61542508e4600733844ab8af,object,countable,object,good-merchandise,5
5f5fc58bfcb0db07c6c64d9e,object,countable,object,good-merchandise,6
605c587ecafedbb7875df03c,object,countable,object,good-merchandise,4
5e384b1b6652df02300bbb15,object,countable,object,good-merchandise,2
61220eed4945bed49e30ed10,object,countable,object,good-merchandise,7
59d0d2f54f2d3d0001d8e04f,object,countable,object,good-merchandise,2
6107b36f1e447f3291ffb10c,object,countable,object,good-merchandise,1
5c52b7e6251e080001c0c794,object,countable,object,good-merchandise,5
60c10f25b2abc02cc4c6a8ff,object,countable,object,good-merchandise,1
5afc1c1c96a88e0001ff1c01,object,countable,object,good-merchandise,5
5ce7d6b62e037a0015e7333c,object,countable,object,good-merchandise,2
5fd09d8f70475f0260720162,object,countable,object,good-merchandise,2
60fd47060f9034b90c94ac08,object,countable,object,good-merchandise,5
60565342bf35f1e7658b3458,object,countable,object,good-merchandise,3
603eafab982298f40bfe9120,object,countable,object,good-merchandise,1
5f91a37ee40e04036b0ee45b,object,countable,object,good-merchandise,6
614dbfd84002a61c075c791c,object,countable,object,good-merchandise,4
60a5552c08038da921d5e7d1,object,countable,object,good-merchandise,7
5d41ef9d57382300015d1564,object,countable,object,good-merchandise,5
5955578c868d3100010cfa1a,object,countable,object,product-stock,7
5b5e597d4e945800017dda68,object,countable,object,product-stock,7
5f0f8ca8356665165fe18328,object,countable,object,product-stock,5
5bc4784e85214800017d8c1a,object,countable,object,product-stock,5
5bfb245c26e31d0001048012,object,countable,object,product-stock,6
60ee1474e6467957994ce2ff,object,countable,object,product-stock,6
61012b949abec48d9755d6c6,object,countable,object,product-stock,3
5ced28579d75d000011572be,object,countable,object,product-stock,5
5e20b67d1bad6c3c1af25ded,object,countable,object,product-stock,7
5f3013e31c8a690aacb02c31,object,countable,object,product-stock,1
5fcead109898cb1466641f65,object,countable,object,product-stock,3
61542508e4600733844ab8af,object,countable,object,product-stock,7
5f5fc58bfcb0db07c6c64d9e,object,countable,object,product-stock,7
605c587ecafedbb7875df03c,object,countable,object,product-stock,7
5e384b1b6652df02300bbb15,object,countable,object,product-stock,2
61220eed4945bed49e30ed10,object,countable,object,product-stock,6
59d0d2f54f2d3d0001d8e04f,object,countable,object,product-stock,7
6107b36f1e447f3291ffb10c,object,countable,object,product-stock,7
5c52b7e6251e080001c0c794,object,countable,object,product-stock,7
60c10f25b2abc02cc4c6a8ff,object,countable,object,product-stock,4
5afc1c1c96a88e0001ff1c01,object,countable,object,product-stock,6
5ce7d6b62e037a0015e7333c,object,countable,object,product-stock,7
5fd09d8f70475f0260720162,object,countable,object,product-stock,7
60fd47060f9034b90c94ac08,object,countable,object,product-stock,6
60565342bf35f1e7658b3458,object,countable,object,product-stock,3
603eafab982298f40bfe9120,object,countable,object,product-stock,3
5f91a37ee40e04036b0ee45b,object,countable,object,product-stock,7
614dbfd84002a61c075c791c,object,countable,object,product-stock,6
60a5552c08038da921d5e7d1,object,countable,object,product-stock,7
5d41ef9d57382300015d1564,object,countable,object,product-stock,6
5955578c868d3100010cfa1a,object,uncountable,object,garment-apparel,7
5b5e597d4e945800017dda68,object,uncountable,object,garment-apparel,2
5f0f8ca8356665165fe18328,object,uncountable,object,garment-apparel,2
5bc4784e85214800017d8c1a,object,uncountable,object,garment-apparel,4
5bfb245c26e31d0001048012,object,uncountable,object,garment-apparel,2
60ee1474e6467957994ce2ff,object,uncountable,object,garment-apparel,7
61012b949abec48d9755d6c6,object,uncountable,object,garment-apparel,4
5ced28579d75d000011572be,object,uncountable,object,garment-apparel,3
5e20b67d1bad6c3c1af25ded,object,uncountable,object,garment-apparel,7
5f3013e31c8a690aacb02c31,object,uncountable,object,garment-apparel,2
5fcead109898cb1466641f65,object,uncountable,object,garment-apparel,2
61542508e4600733844ab8af,object,uncountable,object,garment-apparel,3
5f5fc58bfcb0db07c6c64d9e,object,uncountable,object,garment-apparel,5
605c587ecafedbb7875df03c,object,uncountable,object,garment-apparel,6
5e384b1b6652df02300bbb15,object,uncountable,object,garment-apparel,2
61220eed4945bed49e30ed10,object,uncountable,object,garment-apparel,5
59d0d2f54f2d3d0001d8e04f,object,uncountable,object,garment-apparel,4
6107b36f1e447f3291ffb10c,object,uncountable,object,garment-apparel,3
5c52b7e6251e080001c0c794,object,uncountable,object,garment-apparel,7
60c10f25b2abc02cc4c6a8ff,object,uncountable,object,garment-apparel,1
5afc1c1c96a88e0001ff1c01,object,uncountable,object,garment-apparel,1
5ce7d6b62e037a0015e7333c,object,uncountable,object,garment-apparel,1
5fd09d8f70475f0260720162,object,uncountable,object,garment-apparel,3
60fd47060f9034b90c94ac08,object,uncountable,object,garment-apparel,2
60565342bf35f1e7658b3458,object,uncountable,object,garment-apparel,1
603eafab982298f40bfe9120,object,uncountable,object,garment-apparel,2
5f91a37ee40e04036b0ee45b,object,uncountable,object,garment-apparel,6
614dbfd84002a61c075c791c,object,uncountable,object,garment-apparel,1
60a5552c08038da921d5e7d1,object,uncountable,object,garment-apparel,2
5d41ef9d57382300015d1564,object,uncountable,object,garment-apparel,3
5955578c868d3100010cfa1a,object,uncountable,object,blanket-bedding,5
5b5e597d4e945800017dda68,object,uncountable,object,blanket-bedding,1
5f0f8ca8356665165fe18328,object,uncountable,object,blanket-bedding,7
5bc4784e85214800017d8c1a,object,uncountable,object,blanket-bedding,5
5bfb245c26e31d0001048012,object,uncountable,object,blanket-bedding,2
60ee1474e6467957994ce2ff,object,uncountable,object,blanket-bedding,7
61012b949abec48d9755d6c6,object,uncountable,object,blanket-bedding,5
5ced28579d75d000011572be,object,uncountable,object,blanket-bedding,6
5e20b67d1bad6c3c1af25ded,object,uncountable,object,blanket-bedding,7
5f3013e31c8a690aacb02c31,object,uncountable,object,blanket-bedding,6
5fcead109898cb1466641f65,object,uncountable,object,blanket-bedding,7
61542508e4600733844ab8af,object,uncountable,object,blanket-bedding,4
5f5fc58bfcb0db07c6c64d9e,object,uncountable,object,blanket-bedding,7
605c587ecafedbb7875df03c,object,uncountable,object,blanket-bedding,7
5e384b1b6652df02300bbb15,object,uncountable,object,blanket-bedding,7
61220eed4945bed49e30ed10,object,uncountable,object,blanket-bedding,7
59d0d2f54f2d3d0001d8e04f,object,uncountable,object,blanket-bedding,7
6107b36f1e447f3291ffb10c,object,uncountable,object,blanket-bedding,7
5c52b7e6251e080001c0c794,object,uncountable,object,blanket-bedding,7
60c10f25b2abc02cc4c6a8ff,object,uncountable,object,blanket-bedding,7
5afc1c1c96a88e0001ff1c01,object,uncountable,object,blanket-bedding,2
5ce7d6b62e037a0015e7333c,object,uncountable,object,blanket-bedding,4
5fd09d8f70475f0260720162,object,uncountable,object,blanket-bedding,7
